"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","TaskFlow UI","0","Dashboard","0","0","Delete Task via UI","0"
"0","Task Management API","0","Task CRUD Operations","2","0","Create Task","0"
"0","Task Management API","0","Task Filtering and Search","4","0","Filter by Priority","0"
"3","TaskFlow UI","0","Dashboard","0","0","Create Task via UI","0"
"0","TaskFlow UI","0","Dashboard","1","0","Create Task - Validation","0"
"0","Task Management API","0","Task CRUD Operations","4","0","Create Task - Validation","0"
"0","Task Management API","0","Task Filtering and Search","2","0","Task Statistics","0"
"0","Task Management API","0","Contract Testing / WireMock Stubs","1","0","Contract - Create","0"
"0","Task Management API","1","API Contract / Schema Validation","1","0","Schema Validation","0"
"0","Task Management API","0","Task Filtering and Search","3","0","Search Tasks","0"
"0","Task Management API","0","Task CRUD Operations","3","0","Read Tasks","0"
"0","Task Management API","0","Task CRUD Operations","2","0","Delete Task","0"
"0","TaskFlow UI","0","Dashboard","1","0","Page Load","0"
"0","Task Management API","0","Task CRUD Operations","3","0","Update Task","0"
"0","Task Management API","0","Task CRUD Operations","1","0","Update Task - Validation","0"
"0","Task Management API","0","Contract Testing / WireMock Stubs","1","0","Contract - Error Handling","0"
"0","Task Management API","0","Task Filtering and Search","4","0","Filter by Status","0"
"0","Task Management API","0","Contract Testing / WireMock Stubs","1","0","Contract - Not Found","0"
"0","Task Management API","0","Contract Testing / WireMock Stubs","1","0","Contract - Happy Path","0"
